,,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
Belgium,All Contacts,1.36,0.66,0.43,0.28,0.1,0.44,0.8,0.74,0.18,0.22,0.39,0.46,0.34,0.32,0.11
Belgium,All Contacts,0.74,3.28,0.78,0.68,0.58,0.09,0.68,0.69,0.21,0.06,0.39,0.23,0.07,0.59,0.15
Belgium,All Contacts,0.42,0.76,5.6,0.81,0.46,0.07,0.34,1.13,0.89,0.26,0.31,0.13,0.1,0.18,0.3
Belgium,All Contacts,0.14,0.25,1.34,6.39,2.02,0.35,0.55,0.44,0.92,0.76,0.33,0.27,0.07,0.09,0.33
Belgium,All Contacts,0.34,0.17,0.7,1.67,4.4,0.91,0.84,0.46,0.55,0.8,0.93,0.71,0.27,0.23,0.07
Belgium,All Contacts,1.08,0.61,0.28,0.72,1.77,2.28,1.16,1.15,0.89,1.08,1.3,1.13,0.54,0.27,0.3
Belgium,All Contacts,1.46,1.29,0.57,0.37,1.29,1.37,2.07,1.46,0.58,1.06,0.74,1.77,1.2,0.41,0.3
Belgium,All Contacts,0.77,1.2,1.15,0.73,0.56,1.09,2.18,1.67,1.29,1.46,0.83,1.27,0.76,0.91,0.52
Belgium,All Contacts,0.38,0.82,1.15,1.15,0.96,0.58,1.57,1.64,1.42,1,1.09,1.37,1.07,0.73,0.56
Belgium,All Contacts,0.26,0.41,0.9,1.27,1.17,1.05,0.77,0.82,1.42,1.98,1.13,1.06,0.83,0.27,0.93
Belgium,All Contacts,0.41,0.3,0.21,0.51,0.77,0.77,0.59,0.69,0.82,0.86,1.48,1.46,0.51,0.36,0.59
Belgium,All Contacts,0.39,0.3,0.34,0.2,0.35,0.4,0.86,0.28,0.24,0.72,1.04,1.58,0.88,0.36,0.41
Belgium,All Contacts,0.24,0.29,0.34,0.09,0.13,0.14,0.39,0.51,0.29,0.18,0.85,0.81,1.41,0.59,0.93
Belgium,All Contacts,0.16,0.16,0.16,0.13,0.17,0.07,0.32,0.26,0.24,0.38,0.26,0.42,0.88,0.91,0.59
Belgium,All Contacts,0.23,0.2,0.3,0.15,0.31,0.3,0.43,0.33,0.82,0.92,0.8,1.08,1.12,1.36,1.48
Belgium,Physical,1.08,0.61,0.42,0.27,0.1,0.42,0.73,0.54,0.13,0.22,0.35,0.44,0.34,0.32,0.07
Belgium,Physical,0.7,2.63,0.39,0.41,0.44,0.07,0.57,0.59,0.21,0.06,0.31,0.17,0.07,0.45,0.15
Belgium,Physical,0.38,0.54,3.49,0.56,0.25,0.02,0.32,0.82,0.71,0.22,0.2,0.06,0.07,0.18,0.22
Belgium,Physical,0.09,0.2,0.97,3.88,1.48,0.16,0.34,0.26,0.79,0.6,0.15,0.13,0,0,0.19
Belgium,Physical,0.23,0.12,0.33,0.95,2.75,0.35,0.45,0.18,0.24,0.38,0.37,0.33,0.07,0.14,0.07
Belgium,Physical,0.85,0.41,0.13,0.28,1.04,1.37,0.66,0.46,0.24,0.46,0.69,0.67,0.29,0.09,0.11
Belgium,Physical,1.2,0.93,0.33,0.16,0.63,0.6,0.95,0.82,0.26,0.54,0.41,0.75,0.59,0.23,0.11
Belgium,Physical,0.59,0.97,0.75,0.36,0.25,0.47,1.09,0.97,0.58,0.64,0.28,0.46,0.27,0.5,0.3
Belgium,Physical,0.23,0.57,0.7,0.68,0.29,0.3,0.77,0.85,0.79,0.62,0.44,0.63,0.41,0.41,0.37
Belgium,Physical,0.19,0.22,0.63,0.67,0.63,0.44,0.32,0.28,0.71,0.82,0.43,0.58,0.41,0.09,0.44
Belgium,Physical,0.35,0.17,0.16,0.27,0.38,0.37,0.36,0.31,0.26,0.4,0.91,0.87,0.44,0.18,0.41
Belgium,Physical,0.31,0.22,0.22,0.09,0.21,0.23,0.57,0.15,0.16,0.46,0.61,1.06,0.49,0.27,0.26
Belgium,Physical,0.22,0.25,0.25,0.05,0.04,0.05,0.27,0.33,0.18,0.1,0.46,0.42,1.22,0.41,0.67
Belgium,Physical,0.15,0.14,0.09,0.09,0.13,0.05,0.18,0.15,0.16,0.3,0.15,0.19,0.56,0.68,0.37
Belgium,Physical,0.22,0.13,0.24,0.11,0.21,0.09,0.36,0.13,0.68,0.7,0.52,0.52,0.8,1,0.93
Germany ,All Contacts,1.9,0.36,0.09,0.04,0.08,0.27,0.46,0.2,0.2,0.09,0.19,0.07,0.1,0.03,0.07
Germany ,All Contacts,0.81,2.25,0.35,0.18,0.03,0.17,0.26,0.49,0.23,0.09,0.2,0.11,0.14,0.11,0.27
Germany ,All Contacts,0.34,0.61,3.58,0.69,0.12,0.16,0.14,0.62,0.67,0.35,0.16,0.07,0.07,0.18,0.34
Germany ,All Contacts,0.42,0.42,0.93,4.19,0.9,0.28,0.19,0.46,1.11,1.21,0.27,0.26,0.11,0.15,0.49
Germany ,All Contacts,0.56,0.24,0.25,1.29,2.59,1.43,0.44,0.22,0.57,0.45,0.47,0.33,0.19,0.15,0.3
Germany ,All Contacts,0.62,0.43,0.25,0.36,1.14,1.79,0.98,0.3,0.38,0.57,0.6,0.45,0.32,0.19,0.24
Germany ,All Contacts,1.2,0.66,0.34,0.22,0.45,1.09,1.49,0.74,0.57,0.59,0.54,0.61,0.31,0.32,0.41
Germany ,All Contacts,0.87,0.77,0.65,0.6,0.45,0.77,1.18,1.43,0.95,0.7,0.58,0.57,0.36,0.42,0.5
Germany ,All Contacts,0.49,0.72,0.97,0.69,0.47,0.6,0.98,1.03,1.23,1.05,0.71,0.59,0.49,0.62,0.52
Germany ,All Contacts,0.4,0.38,0.44,0.68,0.63,0.77,0.32,0.59,0.93,1.23,0.99,0.62,0.44,0.38,0.37
Germany ,All Contacts,0.38,0.23,0.37,0.39,0.41,0.59,0.67,0.36,0.47,0.82,1.18,0.79,0.4,0.45,0.38
Germany ,All Contacts,0.26,0.26,0.15,0.26,0.26,0.59,0.35,0.28,0.22,0.41,0.79,1.12,0.75,0.35,0.31
Germany ,All Contacts,0.27,0.22,0.19,0.12,0.11,0.49,0.42,0.36,0.32,0.28,0.42,0.54,0.85,0.8,0.43
Germany ,All Contacts,0.19,0.18,0.19,0.15,0.08,0.23,0.19,0.3,0.2,0.15,0.18,0.3,0.52,0.91,0.44
Germany ,All Contacts,0.38,0.63,0.24,0.14,0.19,0.28,0.21,0.22,0.4,0.26,0.28,0.34,0.37,1.3,0.76
Germany ,Physical,1.48,0.32,0.08,0.02,0.08,0.27,0.39,0.2,0.18,0.07,0.19,0.07,0.1,0.03,0.06
Germany ,Physical,0.72,1.77,0.24,0.12,0.01,0.15,0.23,0.46,0.21,0.07,0.19,0.11,0.14,0.09,0.18
Germany ,Physical,0.22,0.41,2.45,0.4,0.07,0.12,0.14,0.51,0.6,0.32,0.13,0.05,0.06,0.14,0.23
Germany ,Physical,0.24,0.3,0.59,3.01,0.66,0.17,0.07,0.36,0.78,0.91,0.21,0.12,0.1,0.09,0.34
Germany ,Physical,0.52,0.22,0.16,0.95,1.74,0.96,0.26,0.14,0.36,0.29,0.26,0.25,0.15,0.11,0.18
Germany ,Physical,0.49,0.36,0.19,0.24,0.66,1.11,0.53,0.2,0.21,0.36,0.4,0.26,0.2,0.14,0.13
Germany ,Physical,0.88,0.55,0.25,0.1,0.28,0.77,0.84,0.49,0.33,0.35,0.34,0.34,0.15,0.2,0.25
Germany ,Physical,0.74,0.58,0.5,0.4,0.26,0.29,0.84,1.1,0.67,0.39,0.36,0.39,0.17,0.23,0.29
Germany ,Physical,0.36,0.52,0.78,0.43,0.3,0.28,0.53,0.67,0.92,0.63,0.39,0.41,0.27,0.42,0.33
Germany ,Physical,0.34,0.29,0.29,0.41,0.42,0.36,0.16,0.29,0.67,0.85,0.54,0.42,0.26,0.2,0.25
Germany ,Physical,0.36,0.17,0.25,0.22,0.3,0.27,0.42,0.17,0.32,0.56,0.86,0.51,0.25,0.3,0.24
Germany ,Physical,0.26,0.22,0.12,0.21,0.18,0.27,0.25,0.17,0.14,0.24,0.46,0.78,0.56,0.22,0.19
Germany ,Physical,0.21,0.21,0.16,0.04,0.06,0.24,0.28,0.26,0.2,0.1,0.3,0.34,0.63,0.59,0.18
Germany ,Physical,0.16,0.16,0.15,0.07,0.06,0.07,0.14,0.19,0.16,0.11,0.1,0.13,0.35,0.66,0.35
Germany ,Physical,0.33,0.49,0.22,0.1,0.13,0.12,0.21,0.17,0.3,0.18,0.18,0.18,0.26,1.16,0.49
Finland,All Contacts,1.97,1.32,0.36,0.3,0.29,0.75,0.92,0.73,0.2,0.23,0.25,0.13,0.4,0.08,0.23
Finland,All Contacts,1.09,4.8,1.22,0.36,0.02,0.37,0.43,0.77,0.4,0.39,0.22,0.12,0.18,0.17,0.04
Finland,All Contacts,0.4,1.57,8.48,1.55,0.21,0.05,0.42,0.81,0.88,0.63,0.2,0.13,0.08,0.25,0.08
Finland,All Contacts,0.21,0.23,1.04,4.56,1.09,0.35,0.1,0.35,0.6,0.66,0.49,0.17,0.08,0.09,0.15
Finland,All Contacts,0.18,0.33,0.22,1.09,2.71,1.49,0.7,0.71,0.57,0.89,0.59,0.32,0.27,0.28,0.15
Finland,All Contacts,0.71,0.4,0.34,0.51,1.45,2.09,0.95,1.39,0.77,0.55,1,0.72,0.45,0.39,0.35
Finland,All Contacts,0.88,0.87,0.54,0.44,0.79,1.3,1.57,1.58,0.83,1,1.15,0.88,0.69,0.39,0.15
Finland,All Contacts,0.84,1.01,0.78,0.58,0.5,1.05,1.25,2.06,1,0.84,0.71,0.83,0.69,0.36,0.31
Finland,All Contacts,0.6,1.09,1.39,0.72,0.6,0.81,0.88,1.71,2.08,1.45,1.32,1.07,0.63,0.33,0.46
Finland,All Contacts,0.49,0.52,0.81,1.17,0.62,0.84,0.9,1.18,1.5,1.33,1.49,0.92,0.47,0.3,0.23
Finland,All Contacts,0.44,0.47,0.48,0.53,0.62,1.02,0.8,1.4,1.58,1.13,1.64,1.45,0.6,0.36,0.35
Finland,All Contacts,0.33,0.29,0.21,0.39,0.33,0.49,0.78,0.5,0.58,0.55,1.46,1.28,0.82,0.5,0.23
Finland,All Contacts,0.38,0.25,0.11,0.11,0.07,0.25,0.52,0.35,0.18,0.42,0.66,0.52,1.27,0.58,0.46
Finland,All Contacts,0.19,0.22,0.08,0.07,0.09,0.09,0.13,0.21,0.25,0.13,0.19,0.27,0.53,0.77,0.81
Finland,All Contacts,0.15,0.19,0.21,0.15,0.12,0.14,0.25,0.23,0.43,0.3,0.37,0.4,0.6,0.88,1.69
Finland,Physical,1.41,0.78,0.29,0.17,0.12,0.53,0.65,0.4,0.17,0.19,0.14,0.08,0.31,0.05,0.12
Finland,Physical,0.81,2.3,0.71,0.22,0,0.3,0.23,0.6,0.32,0.23,0.1,0.07,0.18,0.05,0
Finland,Physical,0.25,0.93,3.68,0.67,0.16,0.02,0.28,0.48,0.62,0.31,0.03,0.07,0.03,0.08,0
Finland,Physical,0.16,0.15,0.51,1.59,0.33,0.18,0.03,0.02,0.25,0.38,0.1,0.05,0.03,0.06,0.04
Finland,Physical,0.11,0.14,0.08,0.3,1.03,0.54,0.2,0.06,0.08,0.19,0.1,0.05,0.02,0.03,0
Finland,Physical,0.47,0.23,0.1,0.16,0.47,0.93,0.22,0.23,0.13,0.05,0.2,0.15,0.16,0.06,0.08
Finland,Physical,0.68,0.53,0.19,0.1,0.1,0.49,0.68,0.37,0.27,0.22,0.1,0.23,0.18,0.08,0
Finland,Physical,0.56,0.63,0.42,0.15,0.07,0.12,0.4,0.58,0.2,0.16,0.14,0.13,0.08,0.06,0.15
Finland,Physical,0.36,0.66,0.7,0.24,0.05,0.14,0.15,0.24,0.75,0.3,0.24,0.17,0.27,0.14,0.12
Finland,Physical,0.26,0.29,0.44,0.41,0.09,0.09,0.2,0.21,0.47,0.45,0.32,0.22,0.08,0.11,0.08
Finland,Physical,0.22,0.21,0.22,0.16,0.24,0.26,0.18,0.18,0.32,0.39,0.42,0.43,0.19,0.11,0.15
Finland,Physical,0.15,0.13,0.06,0.08,0.07,0.05,0.15,0.1,0.07,0.11,0.27,0.48,0.42,0.14,0.12
Finland,Physical,0.34,0.19,0.04,0.06,0,0.09,0.22,0.03,0.07,0.06,0.08,0.18,0.73,0.23,0.19
Finland,Physical,0.16,0.14,0.05,0.02,0,0.02,0.03,0.05,0.08,0.03,0.08,0.07,0.27,0.31,0.5
Finland,Physical,0.07,0.11,0.12,0.07,0.03,0,0.07,0.08,0.2,0.09,0.17,0.05,0.31,0.31,1.15
Great Britain,All Contacts,1.92,0.65,0.41,0.24,0.46,0.73,0.67,0.83,0.24,0.22,0.36,0.2,0.2,0.26,0.13
Great Britain,All Contacts,0.95,6.64,1.09,0.73,0.61,0.75,0.95,1.39,0.9,0.16,0.3,0.22,0.5,0.48,0.2
Great Britain,All Contacts,0.48,1.31,6.85,1.52,0.27,0.31,0.48,0.76,1,0.69,0.32,0.44,0.27,0.41,0.33
Great Britain,All Contacts,0.33,0.34,1.03,6.71,1.58,0.73,0.42,0.56,0.85,1.16,0.7,0.3,0.2,0.48,0.63
Great Britain,All Contacts,0.45,0.3,0.22,0.93,2.59,1.49,0.75,0.63,0.77,0.87,0.88,0.61,0.53,0.37,0.33
Great Britain,All Contacts,0.79,0.66,0.44,0.74,1.29,1.83,0.97,0.71,0.74,0.85,0.88,0.87,0.67,0.74,0.33
Great Britain,All Contacts,0.97,1.07,0.62,0.5,0.88,1.19,1.67,0.89,1.02,0.91,0.92,0.61,0.76,0.63,0.27
Great Britain,All Contacts,1.02,0.98,1.26,1.09,0.76,0.95,1.53,1.5,1.32,1.09,0.83,0.69,1.02,0.96,0.2
Great Britain,All Contacts,0.55,1,1.14,0.94,0.73,0.88,0.82,1.23,1.35,1.27,0.89,0.67,0.94,0.81,0.8
Great Britain,All Contacts,0.29,0.54,0.57,0.77,0.97,0.93,0.57,0.8,1.32,1.87,0.61,0.8,0.61,0.59,0.57
Great Britain,All Contacts,0.33,0.38,0.4,0.41,0.44,0.85,0.6,0.61,0.71,0.95,0.74,1.06,0.59,0.56,0.57
Great Britain,All Contacts,0.31,0.21,0.25,0.33,0.39,0.53,0.68,0.53,0.55,0.51,0.82,1.17,0.85,0.85,0.33
Great Britain,All Contacts,0.26,0.25,0.19,0.24,0.19,0.34,0.4,0.39,0.47,0.55,0.41,0.78,0.65,0.85,0.57
Great Britain,All Contacts,0.09,0.11,0.12,0.2,0.19,0.22,0.13,0.3,0.23,0.13,0.21,0.28,0.36,0.7,0.6
Great Britain,All Contacts,0.14,0.15,0.21,0.1,0.24,0.17,0.15,0.41,0.5,0.71,0.53,0.76,0.47,0.74,1.47
Great Britain,Physical,1.49,0.59,0.25,0.18,0.42,0.61,0.57,0.74,0.18,0.2,0.36,0.15,0.18,0.26,0.07
Great Britain,Physical,0.74,3.82,0.53,0.44,0.37,0.42,0.68,0.99,0.66,0.15,0.17,0.19,0.41,0.3,0.07
Great Britain,Physical,0.36,0.73,3.19,0.79,0.17,0.14,0.32,0.51,0.69,0.27,0.2,0.19,0.17,0.26,0.17
Great Britain,Physical,0.26,0.22,0.52,3.1,0.85,0.12,0.17,0.29,0.48,0.51,0.27,0.13,0.09,0.26,0.37
Great Britain,Physical,0.39,0.19,0.09,0.38,1.32,0.49,0.28,0.16,0.23,0.44,0.2,0.28,0.11,0.15,0
Great Britain,Physical,0.53,0.37,0.11,0.2,0.58,0.64,0.35,0.21,0.23,0.25,0.3,0.3,0.2,0.04,0.03
Great Britain,Physical,0.77,0.72,0.29,0.17,0.31,0.42,0.8,0.21,0.27,0.38,0.23,0.2,0.23,0.15,0.07
Great Britain,Physical,0.73,0.65,0.61,0.35,0.2,0.24,0.47,0.76,0.47,0.29,0.18,0.11,0.32,0.04,0.03
Great Britain,Physical,0.38,0.59,0.58,0.47,0.27,0.29,0.25,0.49,0.45,0.4,0.12,0.19,0.23,0.15,0.3
Great Britain,Physical,0.22,0.23,0.22,0.34,0.46,0.29,0.17,0.17,0.35,0.58,0.15,0.19,0.14,0.11,0.2
Great Britain,Physical,0.26,0.21,0.14,0.17,0.22,0.17,0.15,0.14,0.19,0.27,0.33,0.35,0.2,0.04,0.07
Great Britain,Physical,0.22,0.12,0.1,0.1,0.14,0.22,0.13,0.21,0.05,0.25,0.17,0.52,0.32,0.44,0.1
Great Britain,Physical,0.22,0.15,0.1,0.1,0.1,0.14,0.15,0.2,0.19,0.13,0.09,0.24,0.27,0.3,0.13
